id,Descripcion,DescripcionId,idModelo
1,PREMIUM L4 2.0 AUT 4OCP,bd8e92d6-715b-4551-8ff2-fbdb69a56cc2,1
2,TECH L4 2.0 AUT 4OCUP,1b5c91c6-2db7-410e-a2b2-c81f2dfd380d,1
3,LUXURY L4 AUT 4 ABS CA CE PIEL CD CQ CB,2f63c974-69c0-4376-b2d5-74cf05b9a7c9,3
4,PREMIUM L4 2.0 AUT 4OCP,6ca4cfc3-1e7f-4c20-9f13-3b33abeb2e19,3
5,TECH L4 2.0 AUT 4OCUP,897c971f-8510-4957-89ce-0f1d3d7bfbae,3
6,PREMIUM L4 2.0 AUT 4OCP,21039e23-c1a4-48e2-b769-d03c1c80e754,4
7,TECH L4 2.0 AUT 4OCUP,9b79fe99-6bf5-4263-8a0f-f0f2e9d70698,4
8,V6 3.5 AUT 310 4 PTAS,91145767-bc60-4ddb-a38d-005c84b433d5,4
9,A-SPEC SEDAN AUT AA EE CD BA QC VP ABS 2L 4CIL 4PTAS 5OCUP,ed64cf0a-6cf3-434d-baf9-f3cb042283bb,5
10,TECH SEDAN AUT AA EE CD BA QC VP ABS 2L 4CIL 4PTAS 5OCUP,beaf2e54-d726-4e87-b975-bcc2776c1586,5
11,ILX A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2,ecc666f1-03fd-476d-9906-44a6a1df435e,6
12,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL,5ce7b219-89a8-4bef-ab80-39a528d391e7,6
13,ILX A SPECAUT 4 P PIEL 4 CIL,6b069b7b-2c73-48e7-8784-91c8b0dbe605,7
14,ACURA ILX ASPEC 2.4L,a210dec8-7141-487f-a269-f2b0a35e5817,8
15,A SPEC L4 IOM AUT 4 ABS CA CE PIEL SM QC CB,eabb05ac-c6a8-40c7-85bd-616880077b68,9
16,TECH L4 IOM AUT 4 ABS CA CE PIEL CD QC CB,f17d8c78-acb5-4771-aa92-bab638c6ea07,9
17,V6 AUTOMATICO AWD 5 OCP,d5452342-9a70-4803-ad56-888ba757ba50,10
18,V6 AUTOMATICO AWD 5 OCP,b46e7c35-a928-4f45-afb5-83b2d1d846da,11
19,V6 AUTOMATICO AWD 5 OCP,0e5754d9-9368-4bd0-9dae-f36a138631fe,12
20,V6 3.7 AUTOMATICO AWD 5 OCUP,64f1550f-c1a4-46b1-9cc7-9649a9cfbd56,13
21,V6 3.7 AUTOMATICO AWD 5 OCUP,a3d1b8ed-6876-4c56-a38c-4d7640a28085,14
22,V6 3.7 AUTOMATICO AWD 5 OCUP,f86f72a8-00a7-4de2-9add-f4cc455a4405,15
23,V6 3.7 AUTOMATICO AWD 5 OCUP,1b4f847a-5d90-4ad4-972b-d1780b215ecb,1
24,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,890bf950-c91f-4c40-8f0c-fb34cd5b4b25,3
25,TECH SUV AUT AA EE CD BA QC VP ABS 3.5L 6CIL 5P 7OCUP,86c25b0b-6c47-41f5-8e75-c66ca5382241,3
26,V6 3.5 AUTOMATICO AWD 5 OCUP,d3767577-c101-4fbf-9144-a9381eb8312b,3
27,V6 3.5 AUTOMATICO AWD 4PTAS 5OCUP,8785cef4-3f27-4fe8-8ba1-5c04aa8b2d06,4
28,SH AWD SUV AUT AA EE CD BA QC VP ABS 3.5L 6CIL 5PTAS 7OCUP,b9a3489b-4699-4540-986f-c0a689f8a7c1,5
29,SH AWD SUV AUT AA EE CD BA QC VP ABS 5PTAS 7OCUP,5fcf567e-717f-4931-8a37-442fadd5aad6,6
30,MDX SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5,4784505f-a612-4609-bc4a-78dea6570ef9,7
31,A-SPEC 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7,290481c9-92ff-49f5-a19f-04ff3686f3b1,8
32,TECH 5P V6 3.5L AWD ABS BA QC AC R20 NAVI AUT 7 OC,ead41e0b-9590-4da9-a84a-53b22d04629d,8
33,A SPEC V6 FSI AUT 5 ABS CA CE PIEL SM QC CB,0ea2bbc6-dfb1-4ed2-80e0-357e585ffadf,9
34,TECH V6 IPC AUT 4 ABS CA CE PIEL CD QC CB,2147c4db-4533-492f-a959-4bb4f6808dae,9
35,ADVANCE SUV AUT AA QC VP ABS 3.5L 6CIL 5PTAS 7OCUP,c1eaf210-7d78-40a8-9f0c-86a743b9ef96,17
36,SUV AUTOMATICA 5 PTAS 5 OCP,2d4b9fe2-d3b7-4290-a233-f61ba41ec2b3,10
37,SUV AUTOMATICA 5 PTAS 5 OCP,03034669-4d67-4bbf-a636-149db7e7f61e,11
38,SUV AUTOMATICA 5 PTAS 5 OCP,dc84aa0c-ce54-4de8-8aef-7cd0a9d92b20,12
39,SUV AUTOMATICA 5 PTAS 5 OCP,f417da9f-9399-4d78-95c0-b99f44b3a836,13
40,SUV AUTOMATICA 5 PTAS 5 OCP,72359e4f-ac60-4148-ad36-e423addf66a7,14
41,SUV AUTOMATICA 5 PTAS 5 OCP,bb2479c5-acb0-4e33-842d-3d3716bdb088,15
42,2.3 QUEMACOCOS AUT,685fbb69-4f5f-4015-ba18-28d89b8baa08,1
43,V6 3.5 AUT AWD,1d7bf3bc-0846-47f8-8934-675dc46573dc,1
44,V6 3.5L 273HP AUTOMATICO 6VEL AC BA,91b566c9-3bf7-4559-8b06-2a94c486b65b,3
45,V6 3.5L AUT AWD,1ff11d3b-7e6c-4e07-9ade-3f137a570d53,4
46,TUR AWD GPS DVD BT SUV AUT AA EE CD BA QC VP ABS 3.5L 6CIL 5PTAS 5OCUP,24ce271b-1ce9-474d-85dd-a78410257961,5
47,V6 AUT ABS CA CE VP CD QC BA 4 PTAS 5 OCUP,436ba868-8b27-4489-9b25-f04c0445c5a9,6
48,RDX AWD GPS DVD BT SUV AUT AA EE AM BA QC VP 273HP,e51326b5-2710-41db-b8c2-70ebc9501df3,7
49,A-SPEC 5P L4 2.0T TBO AWD ABS BA QC AC R20 NAVI AU,4f4f093c-ac3a-42e8-a65e-dd6e13cf36d4,8
50,HIT CVT 4PTAS 4CIL,81677f0c-54e7-499f-b5ca-1eede546449b,8
51,TECH SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL 5,ead73e4b-2d63-4132-b380-acf28be176ca,8
52,A SPEC L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,8b9dfa53-e2b4-4615-9546-92cc6e68f17d,9
53,TECH 5P L4 2.0T TBO AWD ABS BA QC AC R19 NAVI AUT,9ff696e4-f583-4228-86ba-851490e57899,9
54,TECH L4 IPC AUT 5 ABS CA CE PIEL SM QC CB,2e8f6efd-f5c0-45f7-b9ee-39c9e5a918ee,9
55,A-SPEC SUV AUT QC VP 4CIL 5PTAS 5OCUP,c6e1fedd-b6f4-4090-b22f-10cfbb9c201a,18
56,TECH SUV AUT QC 4CIL 5PTAS 5OCUP,2fa45946-2577-4feb-98ed-871617f52613,18
57,ADVANCE SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CI,526033f9-ba0f-4216-a17d-1d557c042d56,17
58,A-SPEC SUV AUT AA EE CD BA QC VP 261HP ABS 2L 4CIL,2fe4a999-92b0-4263-b767-6a3724e0a79e,17
59,SEDAN AUTOMATICA 4 PTAS 5 OCP,d059625a-d704-4655-b935-16dbcddd4b95,10
60,SEDAN AUTOMATICA 4 PTAS 5 OCP,ded677ef-cdf9-4f2d-94fa-3ff443ae7905,11
61,SEDAN AUTOMATICA 4 PTAS 5 OCP,4b74b83f-2b1a-4818-8392-6f37fe8112f8,12
62,SEDAN AUTOMATICA 4 PTAS 5 OCP,2cf7a1e5-fbc1-4e3e-b545-f36cb2b2610a,13
63,SEDAN AUTOMATICA 4 PTAS 5 OCP,6f11b004-d568-4493-80a2-0c913378e501,14
64,V6 3.5 AUTOMATICO 310 4 PTAS,8ad07fbf-2962-4e73-8116-584418659b7f,3
65,V6 3.5 AUT 310 4 PTAS,239255ec-6a6e-4a4f-8433-df0d5373c0de,4
66,SEDAN AUTOMATICA 4 PTAS 5 OCP,87a9ffb5-4825-44ca-80e8-5c09ccf00f3f,10
67,SEDAN AUTOMATICA 4 PTAS 5 OCP,4034e1be-4303-419e-aeed-0ec3a4b7bfcd,11
68,3.7 SEDAN AUTOMATICA 4 PTAS 5 OCP,b7e9ae5d-c005-4246-8bc1-c3078e44bdd6,12
69,SEDAN AUTOMATICA 4 PTAS 5 OCP,1f2e907b-2c7e-476a-a717-df8a8b61067b,12
70,3.7 SEDAN AUTOMATICA 4 PTAS 5 OCP,e3820f87-8375-4f92-9187-543497ebb791,13
71,SEDAN AUTOMATICA 4 PTAS 5 OCP,69825e63-fc3e-4ec2-8a41-0c0553e2f7d8,13
72,TL R17 SEDAN AUT 280HP 3.5L 6CIL 4P 5OCUP,9e558d45-fcad-440d-af4b-fad2c77eecc8,13
73,3.7 SEDAN AUTOMATICA 4 PTAS 5 OCP,f3f24eef-0b12-486d-a4c2-4c2d7746f579,14
74,SEDAN AUTOMATICA 4 PTAS 5 OCP,5d58fc30-2492-4dbe-b33b-8d71662a3d75,14
75,3.7 SEDAN AUTOMATICA 4 PTAS 5 OCP,215d150d-ae10-4fb1-aea0-3f750652db92,15
76,SEDAN AUTOMATICA 4 PTAS 5 OCP,272109c5-c049-4994-8b73-98caae5b666d,15
77,3.7 SEDAN AUTOMATICA 4 PTAS 5 OCUP,a3777b9a-9cdd-4c16-bab6-39dfe70eb378,1
78,SEDAN AUTOMATICA 4 PTAS 5 OCUP,d0fcdd95-9688-4729-ab55-0c163a649ca6,1
79,ADVANCE GPS SD AUT AA EE CD BA QC VP ABS 3.5L 6CIL 4P 5OCUP,41917498-64f5-47a5-b3b3-fc4694018ee7,4
80,TECH GPS SD AUT AA EE CD BA QC VP ABS 2.4L 4CIL 4P 5OCUP,1e7b0955-05ca-4e38-84de-6d8cd628462d,4
81,ADVANCE GPS AUT AA EE CD BA QC VP ABS 3.5L 6CIL 4P,970fb4b0-a2a7-4df8-8288-f08e08f1996f,5
82,TECH GPS AUT AA EE CD BA QC VP ABS 2.4L 4PTAS 5OCU,658d40f0-ab13-4767-84a8-fbf78b438917,5
83,TLX ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP,0ca4b5a8-4f39-46b7-ad8b-6b0bb3d74662,6
84,RDX SUV AUTOMATICA 5 PUERTAS,a2cb4804-8892-4461-907d-cfb9c72c4433,7
85,TLX A-SPEC SEDAN AUT AA EE CD BA QC VP 290HP ABS 3,fb621b6a-7fb0-4306-8b8b-72791ee1e159,7
86,ADVANCE 4P V6 3.5L VP ABS BA QC AC GPS R18 AUT 5 O,0933fd47-afe8-42b0-b644-2dd115093d73,8
87,TECH A-SPEC 4P L4 2.4L VP ABS BA QC AC R19 GPS AUT,dcc1c9a0-fdcd-45a2-9a3a-8463818f8104,8
88,ADVANCE GPS SEDAN AUT AA EE CD BA QC VP 290HP ABS,6add41e6-f493-4eae-bfde-45886df39043,9
89,ADVANCE V6 IPC AUT 4 ABS CA CE PIEL CD CQ CB,8c0910d9-7019-49fa-a1db-60b0f8a331a1,9
90,TLX ADVANCE V6 IPC AUT ABS PIEL CQ 4PTAS 5OCUP,fe839bd1-de5a-4c6e-9fde-858da3f0854f,18
91,ADVANCE SEDAN AUT AA EE CD BA QC VP 261HP ABS 2L 4,cd4194f5-ebb6-4fcc-b8ae-92bf5ada46f0,17
92,V4 SEDAN AUTOMATICA 4 PTAS 5 OCP,5a207f2b-0ece-42e6-be0f-4a42fc58d101,12
93,V4 SEDAN AUTOMATICA 4 PTAS 5 OCP,65090185-4979-4447-ab9c-7962fe405a63,13
94,V6 SEDAN AUTOMATICA 4 PTAS 5 OCP,c445a441-1577-4cbc-ba77-fc24926eeed1,13
95,V4 SEDAN AUTOMATICA 4 PTAS 5 OCP,1a60043b-88c3-41a8-aa33-acab6d58de17,14
96,V6 SEDAN AUTOMATICA 4 PTAS 5 OCP,54c440fa-0185-46a8-a448-e996ae140b8d,14
97,V4 SEDAN AUTOMATICA 4 PTAS 5 OCP,3fa4d05a-4d4a-4483-b209-0e0d9ca7dd68,15
98,V6 SEDAN AUTOMATICA 4 PTAS 5 OCP,c7f0b3d0-8f4a-4401-bf2c-1e86a137b84c,15
99,V4 SEDAN AUTOMATICA 4 PTAS 5 OCP,fc57a0f9-440b-4958-871f-2a772207bc33,1
100,V6 SEDAN AUTOMATICA 4 PTAS 5 OCP,d96274a5-e7c7-44a9-b6bd-d68f7d62c3ec,1
101,SUV AUTOMATICA 5 PTAS 5 OCP,88f3d902-6d06-46bc-9bd9-658f990c099d,13
102,AWD SUV AUT QC 304HP 3.7L 6CIL 5P 5OCUP,b2a89095-68f3-4283-9430-9b4a5d833738,14
103,SELESPEED COUPE AUTOMATICA 3 PTAS 5 OCP,60cb7f06-99ab-4f84-97df-f27b1e1cbd9f,10
104,SELESPEED HATCHBACK AUTOMATICA 5 PTAS 5 OCP,cc85c75c-e665-4838-bda4-6e4f584df0fc,10
105,Q4 SEDAN AUTOMATICA 4 PTAS 5 OCP,1abbd7f9-7962-4158-beb3-e3d0ea8d4417,10
106,SS JTS SEDAN STANDARD 4 PTAS 5 OCP,3b75e063-580e-4e1f-a4be-58d5d7ab45af,10
107,Q4 SEDAN AUTOMATICA 4 PTAS 5 OCP,56fb3eae-86f8-478d-9db3-2fd939506455,11
108,SS JTS SEDAN STANDARD 4 PTAS 5 OCP,f9813cd1-aebf-43de-9d4f-dae0d366eb3f,11
109,SPORT PLUS AWD AUTOMATICO 3.2 L 260 HP V6 AUT ABS 04 CA CE VP CD CB 05,832f419d-f3ff-4897-aaab-2a6ccd109fda,15
110,SPORT PLUS SELESPEED JTS 2.2 L 185 HP L4 SEC ABS 04 CA CE VP CD CB 05,d3e59a49-9b37-4511-a948-c20de756601c,15
111,159 SPORT PLUS SEDAN AUTOMATICA 4 PTAS 5 OCUP,8e0cc3c5-0a6d-41e9-be36-5a977c2fa962,1
112,159 SS JTS SEDAN STANDARD 4 PTAS 5 OCUP,f15d9fac-0580-4562-970b-ecebf6fa044a,1
113,SEDAN STANDARD 2 PTAS 5 OCP,e195fefa-70e1-4b01-878c-2a92a90e734b,10
114,SEDAN STANDARD 2 PTAS 5 OCP,13d184a7-129c-4f57-8d86-3e451f1bf1a2,11
115,QUADRIFOGLIO VERDE SEDAN AUT AA EE CD BA VP 505HP,f5a5ed0e-c5f7-4e20-a057-8dd3044110ee,17
116,VELOCE SEDAN AUT AA EE CD BA QC VP 280HP ABS 2L 4C,cefd724d-7870-4f2d-ae44-7636c4e5d84c,17
117,TURBO STANDARD PIEL QUEM 4CIL 4 PTAS,fc23ba15-b9bf-4d14-ae98-058eb55afb5a,14
118,QUADRIFOLGIO COUPE STANDARD 4 PTAS 5 OCUP,6af0b74e-bb62-49f6-b83a-70added522bb,15
119,QUADRIFOLGIO COUPE STANDARD 4 PTAS 5 OCUP,fef4e376-3452-49bd-8128-74e5384fba46,1
120,QUADRIFOLGIO COUPE STANDARD 4 PTAS 5 OCUP,3a1e615b-6b29-4a9f-8d9f-7ab8e73c7b9a,3
121,TUR USB BT HB STD AA EE CD BA QC VP ABS 1.8L 5PTAS,a49ef610-b9f7-4503-a9af-ac9cef2c2943,4
122,QUADRIFOGLIO VERDE 1.8T L4 STD 3PTS ABS PIEL,14a6c724-d37b-42ec-8229-6479e85f0b91,5
123,QUADRIFOGLIO VERDE RA FX TUR USB BT HB STD AA EE C,adcb0be1-93cc-4b31-9537-d608de6c4c8d,5
124,GIULIETTA VELOCE HB STD AA EE CD BA QC VP 237HP AB,a2830054-084b-4a0a-b709-e24f92118de7,6
125,GIULIETTA VELOCE HB STD AA EE CD BA QC VP 237HP AB,ada26f26-7ad9-482e-8c88-6853f56af7da,7
126,VELOCE 5P L4 1.75L TCT AUT 5 OCUP,35f81d2f-6ec7-4802-9a2f-bbe0ae57335c,8
127,VELOCE HB AUT AA EE CD BA QC VP 237HP ABS 1.8L 4CI,85544082-ac5b-4c58-9356-8571c1c8991e,9
128,3.2L SEDAN AUTOMATICA 4 PTAS 5 OCP,0695a800-2ee0-44fa-b079-5c1afebc4b88,10
