id,Modelo,idSubMarca
1,2013,1
2,2014,1
3,2015,1
4,2016,1
5,2017,1
6,2018,1
7,2019,1
8,2020,1
9,2007,2
10,2008,2
11,2009,2
12,2010,2
13,2011,2
14,2012,2
15,2013,2
16,2014,2
17,2015,2
18,2016,2
19,2017,2
20,2018,2
21,2019,2
22,2020,2
23,2022,2
24,2007,3
25,2008,3
26,2009,3
27,2010,3
28,2011,3
29,2012,3
30,2013,3
31,2014,3
32,2015,3
33,2016,3
34,2017,3
35,2018,3
36,2019,3
37,2020,3
38,2021,3
39,2022,3
40,2007,4
41,2008,4
42,2009,4
43,2010,4
44,2011,4
45,2014,5
46,2015,5
47,2007,6
48,2008,6
49,2009,6
50,2010,6
51,2011,6
52,2012,6
53,2013,6
54,2015,7
55,2016,7
56,2017,7
57,2018,7
58,2019,7
59,2020,7
60,2021,7
61,2022,7
62,2009,8
63,2010,8
64,2011,8
65,2012,8
66,2013,8
67,2010,9
68,2011,9
69,2007,10
70,2007,11
71,2008,11
72,2012,11
73,2013,11
74,2007,12
75,2008,12
76,2022,13
77,2011,14
78,2012,14
79,2013,14
80,2014,14
81,2015,14
82,2016,14
83,2017,14
84,2018,14
85,2019,14
86,2020,14
87,2007,15
88,2008,15
89,2009,15
90,2010,15
91,2022,15
92,2011,16
93,2012,16
94,2013,16
95,2015,16
96,2016,16
97,2017,16
98,2018,16
99,2019,16
100,2007,17
101,2008,17
102,2009,17
103,2010,17
104,2011,18
105,2012,18
106,2013,18
107,2014,18
108,2015,18
109,2016,18
110,2017,18
111,2018,18
112,2019,18
113,2020,18
114,2021,18
115,2022,18
116,2007,19
117,2008,19
118,2009,19
119,2010,19
120,2011,19
121,2012,19
122,2013,19
123,2014,19
124,2015,19
125,2016,19
126,2017,19
127,2018,19
128,2019,19
129,2020,19
130,2022,19
131,2007,20
132,2008,20
133,2009,20
134,2010,20
135,2011,20
136,2012,20
137,2013,20
138,2014,20
139,2015,20
140,2016,20
141,2017,20
142,2018,20
143,2019,20
144,2020,20
145,2021,20
146,2008,21
147,2009,21
148,2010,21
149,2011,21
150,2012,21
151,2013,21
152,2014,21
153,2015,21
154,2016,21
155,2018,21
156,2019,21
157,2021,21
158,2007,22
159,2008,22
160,2009,22
161,2010,22
162,2011,22
163,2012,22
164,2013,22
165,2014,22
166,2016,22
167,2017,22
168,2018,22
169,2019,22
170,2020,22
171,2021,22
172,2012,23
173,2013,23
174,2014,23
175,2016,23
176,2017,23
177,2018,23
178,2019,23
179,2020,23
180,2021,23
181,2007,24
182,2008,24
183,2009,24
184,2010,24
185,2011,24
186,2012,24
187,2013,24
188,2014,24
189,2015,24
190,2016,24
191,2017,25
192,2018,25
193,2019,25
194,2020,25
195,2021,25
196,2013,26
197,2014,26
198,2015,26
199,2016,26
200,2017,26
201,2018,26
202,2020,26
203,2021,26
204,2022,26
205,2010,27
206,2011,27
207,2012,27
208,2013,27
209,2014,27
210,2015,27
211,2016,27
212,2017,27
213,2018,27
214,2019,27
215,2020,27
216,2021,27
217,2007,28
218,2008,28
219,2009,28
220,2010,28
221,2011,28
222,2012,28
223,2013,28
224,2014,28
225,2015,28
226,2016,28
227,2017,28
228,2018,28
229,2019,28
230,2021,28
231,2019,29
232,2021,29
233,2008,30
234,2009,30
235,2010,30
236,2008,31
237,2009,31
238,2010,31
239,2011,31
240,2012,31
241,2014,31
242,2015,31
243,2016,31
244,2017,31
245,2018,31
246,2019,31
247,2020,31
248,2007,32
249,2008,32
250,2010,32
251,2011,32
252,2012,32
253,2013,32
254,2014,32
255,2015,32
256,2016,32
257,2017,32
258,2018,32
259,2021,32
260,2008,33
261,2009,33
262,2010,33
263,2011,33
264,2013,33
265,2014,33
266,2015,33
267,2016,33
268,2018,33
269,2021,33
270,2007,34
271,2008,34
272,2010,34
273,2013,34
274,2014,34
275,2016,34
276,2021,34
277,2013,35
278,2014,35
279,2015,35
280,2016,35
281,2021,35
282,2007,36
283,2008,36
284,2013,36
285,2014,36
286,2015,36
287,2016,36
288,2007,37
289,2008,37
290,2009,37
291,2010,37
292,2011,37
293,2012,37
294,2013,37
295,2014,37
296,2016,37
297,2017,37
298,2018,37
299,2021,37
300,2016,38
301,2017,38
302,2018,39
303,2019,39
304,2020,39
305,2018,40
306,2021,40
307,2022,40
308,2017,41
309,2018,41
310,2019,41
311,2020,41
312,2017,42
313,2018,42
314,2019,42
315,2020,42
316,2020,43
317,2019,44
318,2018,45
319,2019,45
320,2020,45
321,2007,46
322,2008,46
323,2009,46
324,2010,46
325,2011,46
326,2012,46
327,2013,46
328,2014,46
329,2015,46
330,2016,46
331,2017,46
332,2018,46
333,2019,46
334,2020,46
335,2021,46
336,2022,46
337,2007,47
338,2008,47
339,2009,47
340,2010,47
341,2011,47
342,2012,47
343,2013,47
344,2014,47
345,2015,47
346,2016,47
347,2017,47
348,2018,47
349,2019,47
350,2020,47
351,2021,47
352,2022,47
353,2014,48
354,2015,48
355,2016,48
356,2017,48
357,2018,48
358,2019,48
359,2020,48
360,2021,48
361,2022,48
362,2007,49
363,2008,49
364,2009,49
365,2010,49
366,2011,49
367,2012,49
368,2013,49
369,2014,49
370,2015,49
371,2016,49
372,2017,49
373,2018,49
374,2020,49
375,2021,49
376,2022,49
377,2014,50
378,2015,50
379,2016,50
380,2017,50
381,2018,50
382,2019,50
383,2020,50
384,2021,50
385,2022,50
386,2007,51
387,2008,51
388,2009,51
389,2010,51
390,2011,51
391,2012,51
392,2013,51
393,2014,51
394,2015,51
395,2016,51
396,2017,51
397,2018,51
398,2019,51
399,2020,51
400,2021,51
401,2022,51
402,2007,52
403,2008,52
404,2009,52
405,2010,52
406,2011,52
407,2012,52
408,2013,52
409,2014,52
410,2015,52
411,2016,52
412,2018,52
413,2007,53
414,2008,53
415,2009,53
416,2010,53
417,2011,53
418,2012,53
419,2013,53
420,2014,53
421,2015,53
422,2017,53
423,2018,53
424,2022,53
425,2020,54
426,2022,54
427,2015,55
428,2016,55
429,2021,55
430,2015,56
431,2017,56
432,2020,56
433,2022,56
434,2020,57
435,2007,58
436,2008,58
437,2009,58
438,2010,58
439,2011,58
440,2012,58
441,2013,58
442,2014,58
443,2015,58
444,2018,58
445,2020,58
446,2022,58
447,2020,59
448,2021,59
449,2022,59
450,2010,60
451,2011,60
452,2012,60
453,2013,60
454,2014,60
455,2015,60
456,2016,60
457,2017,60
458,2018,60
459,2019,60
460,2020,60
461,2021,60
462,2022,60
463,2018,61
464,2019,61
465,2020,61
466,2021,61
467,2022,61
468,2007,62
469,2008,62
470,2009,62
471,2010,62
472,2011,62
473,2012,62
474,2013,62
475,2014,62
476,2015,62
477,2016,62
478,2017,62
479,2018,62
480,2019,62
481,2020,62
482,2021,62
483,2022,62
484,2015,63
485,2016,63
486,2017,63
487,2018,63
488,2019,63
489,2020,63
490,2021,63
491,2022,63
492,2007,64
493,2008,64
494,2009,64
495,2010,64
496,2011,64
497,2012,64
498,2013,64
499,2014,64
500,2015,64
501,2016,64
502,2017,64
503,2018,64
504,2019,64
505,2020,64
506,2022,64
507,2008,65
508,2009,65
509,2010,65
510,2011,65
511,2012,65
512,2013,65
513,2014,65
514,2015,65
515,2016,65
516,2017,65
517,2018,65
518,2019,65
519,2020,65
520,2022,65
521,2020,66
522,2022,66
523,2007,67
524,2008,67
525,2009,67
526,2010,67
527,2011,67
528,2012,67
529,2013,67
530,2014,67
531,2015,67
532,2016,67
533,2017,67
534,2010,68
535,2011,68
536,2012,68
537,2013,68
538,2014,68
539,2015,68
540,2016,68
541,2017,68
542,2018,68
543,2019,68
544,2021,68
545,2014,69
546,2015,69
547,2016,69
548,2017,69
549,2018,69
550,2019,69
551,2020,69
552,2021,69
553,2022,69
554,2016,70
555,2017,70
556,2018,70
557,2019,70
558,2020,70
559,2022,70
560,2010,71
561,2011,71
562,2012,71
563,2013,71
564,2014,71
565,2015,71
566,2016,71
567,2013,72
568,2014,72
569,2015,72
570,2016,72
571,2017,72
572,2013,73
573,2014,73
574,2015,73
575,2016,73
576,2013,74
577,2014,74
578,2015,74
579,2016,74
580,2018,74
581,2019,74
582,2007,75
583,2008,75
584,2009,75
585,2007,76
586,2007,77
587,2008,77
588,2009,77
589,2010,77
590,2011,77
591,2012,77
592,2013,77
593,2014,77
594,2015,77
595,2016,77
596,2018,77
597,2019,77
598,2007,78
599,2009,78
600,2007,79
601,2008,79
602,2009,79
603,2010,79
604,2011,79
605,2012,79
606,2013,79
607,2014,79
608,2015,79
609,2016,79
610,2017,79
611,2018,79
612,2010,80
613,2011,80
614,2012,80
615,2013,80
616,2014,80
617,2015,80
618,2016,80
619,2007,81
620,2008,81
621,2019,82
622,2021,82
623,2017,83
624,2018,83
625,2019,83
626,2021,83
627,2007,84
628,2008,84
629,2009,84
630,2010,84
631,2011,84
632,2012,84
633,2013,84
634,2014,84
635,2015,84
636,2016,84
637,2017,84
638,2018,84
639,2019,84
640,2020,84
641,2021,84
642,2007,85
643,2008,85
644,2009,85
645,2007,86
646,2008,86
647,2009,86
648,2010,86
649,2011,86
650,2012,86
651,2013,86
652,2008,87
653,2009,87
654,2010,87
655,2011,87
656,2012,87
657,2013,87
658,2014,87
659,2015,87
660,2016,87
661,2017,87
662,2018,87
663,2019,87
664,2020,87
665,2021,87
666,2022,87
667,2018,88
668,2019,88
669,2020,88
670,2021,88
671,2019,89
672,2020,89
673,2021,89
674,2019,90
675,2022,90
676,2010,91
