id,Submarca,idMarca
1,ILX,1
2,MDX,1
3,RDX,1
4,RL,1
5,RLX,1
6,TL,1
7,TLX,1
8,TSX,1
9,ZDX,1
10,147,2
11,159,2
12,BRERA,2
13,GIULIA,2
14,GIULIETTA,2
15,GT,2
16,MITO,2
17,SPIDER,2
18,A1,3
19,A3,3
20,A4,3
21,A5,3
22,A6,3
23,A7,3
24,A8,3
25,Q2,3
26,Q3,3
27,Q5,3
28,Q7,3
29,Q8,3
30,R8,3
31,S3,3
32,S4,3
33,S5,3
34,S6,3
35,S7,3
36,S8,3
37,TT,3
38,TTS,3
39,BJ20,4
40,BJ40,4
41,D20,4
42,X25,4
43,X30,4
44,X35,4
45,X65,4
46,MINI COOPER,5
47,SERIE 1,5
48,SERIE 2,5
49,SERIE 3,5
50,SERIE 4,5
51,SERIE 5,5
52,SERIE 6,5
53,SERIE 7,5
54,SERIE 8,5
55,SERIE I,5
56,SERIE I3,5
57,SERIE I8,5
58,SERIE M,5
59,SERIE Z,5
60,X1,5
61,X2,5
62,X3,5
63,X4,5
64,X5,5
65,X6,5
66,X7,5
67,Z4,5
68,ENCLAVE,6
69,ENCORE,6
70,ENVISION,6
71,LACROSSE,6
72,REGAL,6
73,VERANO,6
74,ATS,7
75,BLS,7
76,CATERA,7
77,CTS,7
78,DTS,7
79,ESCALADE,7
80,SRX,7
81,STS,7
82,XT4,7
83,XT5,7
84,ACADIA,8
85,ASTRA,8
86,AVALANCHE,8
87,AVEO,8
88,BEAT,8
89,BLAZER,8
90,BOLT,8
91,CAMARO,8
92,CAPTIVA,8
93,CAVALIER,8
94,CHEVY,8
95,CORSA,8
96,CORVETTE,8
97,CRUZE,8
98,EPICA,8
99,EQUINOX,8
100,EXPRESS VAN,8
101,GROOVE,8
102,HHR,8
103,HUMMER H2,8
104,HUMMER H3,8
105,MALIBU,8
106,MERIVA,8
107,ONIX,8
108,OPTRA,8
109,PONTIAC G3,8
110,PONTIAC G5,8
111,PONTIAC G6,8
112,PONTIAC MATIZ,8
113,PONTIAC MONTANA,8
114,PONTIAC SOLSTICE,8
115,PONTIAC TORRENT,8
116,SAAB 9-3,8
117,SONIC,8
118,SONORA,8
119,SPARK,8
120,SUBURBAN,8
121,TAHOE,8
122,TERRAIN,8
123,TRACKER,8
124,TRAIL BLAZER,8
125,TRAVERSE,8
126,TRAX,8
127,UPLANDER,8
128,VECTRA,8
129,VOLT,8
130,YUKON,8
131,ZAFIRA,8
132,200,9
133,300,9
134,ASPEN,9
135,ATOS,9
136,ATTITUDE,9
137,AVENGER,9
138,CALIBER,9
139,CHALLENGER,9
140,CHARGER,9
141,CIRRUS,9
142,CROSSFIRE,9
143,DART,9
144,DURANGO,9
145,GRAND CARAVAN,9
146,H100,9
147,I 10,9
148,JEEP CHEROKEE,9
149,JEEP COMMANDER,9
150,JEEP COMPASS,9
151,JEEP GRAND CHEROKEE,9
152,JEEP LIBERTY,9
153,JEEP PATRIOT,9
154,JEEP RENEGADE,9
155,JEEP WRANGLER,9
156,JOURNEY,9
157,NEON,9
158,NITRO,9
159,PACIFICA,9
160,PT CRUISER,9
161,RAM WAGON,9
162,STRATUS,9
163,TOWN & COUNTRY,9
164,VERNA,9
165,VIPER,9
166,VISION,9
167,VOYAGER,9
168,458,10
169,CALIFORNIA,10
170,F12,10
171,F355,10
172,F430,10
173,F456,10
174,F599,10
175,FF,10
176,LA FERRARI,10
177,500,11
178,ALBEA,11
179,ARGO,11
180,BRAVO,11
181,DUCATO,11
182,GRANDE PUNTO,11
183,IDEA,11
184,LINEA,11
185,MOBI,11
186,PALIO,11
187,PANDA,11
188,PUNTO,11
189,STILO,11
190,UNO,11
191,BRONCO,12
192,CLUB WAGON,12
193,CROWN VICTORIA,12
194,ECONOLINE,12
195,ECOSPORT,12
196,EDGE,12
197,ESCAPE,12
198,EXPEDITION,12
199,EXPLORER,12
200,FIESTA,12
201,FIGO,12
202,FIVE HUNDRED,12
203,FOCUS,12
204,FREESTAR,12
205,FUSION,12
206,IKON,12
207,KA,12
208,MARINER,12
209,MILAN,12
210,MONDEO,12
211,MONTEGO,12
212,MUSTANG,12
213,POLICE,12
214,TRANSIT,12
215,ACCORD,13
216,BR-V,13
217,CITY,13
218,CIVIC,13
219,CROSSTOUR,13
220,CR-V,13
221,CR-Z,13
222,FIT,13
223,HR-V,13
224,INSIGHT,13
225,ODYSSEY,13
226,PILOT,13
227,TYPE,13
228,ACCENT,14
229,CRETA,14
230,ELANTRA,14
231,GRAND I10,14
232,IONIQ,14
233,IX35,14
234,SANTA FE,14
235,SONATA,14
236,STAREX,14
237,TUCSON,14
238,FX,15
239,G,15
240,JX,15
241,M,15
242,Q 50,15
243,Q 60,15
244,Q 70,15
245,QX 50,15
246,QX 56,15
247,QX 60,15
248,QX 70,15
249,QX 80,15
250,J4,16
251,J7,16
252,SEI 1,16
253,SEI 2,16
254,SEI 3,16
255,SEI 4,16
256,SEI 7,16
257,SEI3,16
258,E-PACE,17
259,F,17
260,F-PACE,17
261,S-TYPE,17
